documentation-url,end-date,entry-date,geography,geometry,name,organisation,point,reference,start-date,slug
,,2021-01-08,development-policy-area:LPEMK,"MULTIPOLYGON (((-0.707251 51.611333,-0.705508 51.612807,-0.703356 51.611728,-0.704033 51.611266,-0.704369 51.611075,-0.704505 51.610935,-0.705578 51.610526,-0.706215 51.610916,-0.706456 51.611146,-0.706721 51.611218,-0.707110 51.611251,-0.707251 51.611333)))",Kingmead Business Park,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPEMK
,,2021-01-08,development-policy-area:LPEMM,"MULTIPOLYGON (((-0.683819 51.592313,-0.683893 51.592575,-0.683523 51.592684,-0.683577 51.592745,-0.683924 51.592679,-0.683963 51.592692,-0.683994 51.592778,-0.683721 51.592867,-0.683748 51.592904,-0.683651 51.592929,-0.683692 51.592985,-0.683423 51.593060,-0.683511 51.593196,-0.683198 51.593278,-0.683166 51.593312,-0.683359 51.593692,-0.684233 51.593496,-0.684469 51.594035,-0.683807 51.594196,-0.683870 51.594323,-0.684065 51.594349,-0.684245 51.594728,-0.684768 51.594619,-0.684862 51.594790,-0.684376 51.594810,-0.684394 51.594923,-0.683463 51.594932,-0.683223 51.594849,-0.682840 51.594450,-0.682422 51.594467,-0.682306 51.594434,-0.682109 51.594332,-0.682581 51.594086,-0.682568 51.594059,-0.681737 51.593406,-0.681254 51.592981,-0.683819 51.592313)))",Mercury Park,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPEMM
,,2021-01-08,development-policy-area:LPEMP,"MULTIPOLYGON (((-0.846757 51.718673,-0.846797 51.718690,-0.846542 51.718927,-0.851742 51.722473,-0.852633 51.723365,-0.851934 51.723968,-0.850439 51.723668,-0.848264 51.723095,-0.847278 51.722724,-0.846898 51.722535,-0.846382 51.722217,-0.846431 51.722186,-0.845945 51.721837,-0.845485 51.721413,-0.845043 51.720920,-0.844681 51.720379,-0.844612 51.719476,-0.844541 51.719240,-0.844524 51.719040,-0.844480 51.717917,-0.845155 51.718169,-0.845295 51.718059,-0.846757 51.718673)))",Princes Estate / Regent Park incl expansion,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPEMP
,,2021-01-08,development-policy-area:LPEMS,"MULTIPOLYGON (((-0.689564 51.582988,-0.690319 51.582684,-0.689223 51.582168,-0.689519 51.581854,-0.690450 51.581129,-0.690341 51.581075,-0.690449 51.580987,-0.690277 51.580909,-0.690599 51.580657,-0.691440 51.579895,-0.691855 51.580091,-0.691813 51.580149,-0.692004 51.580237,-0.692086 51.580242,-0.692158 51.580190,-0.692283 51.580258,-0.692341 51.580187,-0.692637 51.580334,-0.692477 51.580413,-0.692655 51.580504,-0.692523 51.580605,-0.693269 51.581025,-0.693366 51.581128,-0.693941 51.581533,-0.694092 51.581417,-0.694334 51.581538,-0.694144 51.581685,-0.694760 51.582151,-0.691944 51.583088,-0.691968 51.583116,-0.690052 51.583778,-0.689092 51.584248,-0.688762 51.584451,-0.687919 51.583790,-0.688090 51.583684,-0.688238 51.583531,-0.688574 51.583726,-0.688701 51.583861,-0.689061 51.583698,-0.688846 51.583497,-0.688654 51.583399,-0.688828 51.583340,-0.688761 51.583257,-0.689178 51.583142,-0.689564 51.582988)))",Soho Mills Industrial Estate / Wooburn Industrial Park,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPEMS
,,2021-01-08,development-policy-area:LPGFT,"MULTIPOLYGON (((-0.772256 51.635134,-0.772290 51.635017,-0.772834 51.635062,-0.772885 51.634865,-0.774012 51.634963,-0.774101 51.634623,-0.775312 51.634733,-0.775215 51.634979,-0.775063 51.635169,-0.774876 51.635336,-0.772256 51.635134)),((-0.772725 51.635810,-0.772659 51.635508,-0.772604 51.635420,-0.772413 51.635381,-0.772173 51.635438,-0.772260 51.635205,-0.773712 51.635327,-0.773752 51.635355,-0.773630 51.635919,-0.773558 51.635942,-0.773515 51.635935,-0.773527 51.635881,-0.772725 51.635810)))",Grafton Street,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPGFT
,,2021-01-08,development-policy-area:LPGOM,"MULTIPOLYGON (((-0.716936 51.620113,-0.712816 51.618098,-0.712196 51.617790,-0.712475 51.617636,-0.712933 51.617173,-0.712903 51.617167,-0.713086 51.617209,-0.713610 51.616691,-0.713755 51.616675,-0.714347 51.616909,-0.714751 51.617139,-0.715014 51.617333,-0.715764 51.617957,-0.715684 51.617995,-0.716531 51.618632,-0.716026 51.618996,-0.716259 51.619125,-0.716378 51.619143,-0.716374 51.619191,-0.716842 51.619252,-0.716792 51.619393,-0.716654 51.619503,-0.716899 51.619620,-0.717696 51.619899,-0.716936 51.620113)))",Gomm Road / Tannery Road Industrial Estate,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPGOM
,,2021-01-08,development-policy-area:LPHH,"MULTIPOLYGON (((-0.796521 51.605694,-0.796006 51.604725,-0.796609 51.604579,-0.796828 51.604557,-0.797116 51.604433,-0.797356 51.604388,-0.797773 51.604229,-0.798025 51.604172,-0.798650 51.603851,-0.798800 51.603723,-0.798783 51.603710,-0.799051 51.603628,-0.799148 51.603723,-0.799553 51.603971,-0.799990 51.604308,-0.800485 51.604577,-0.800436 51.604653,-0.800650 51.604844,-0.799747 51.605087,-0.798534 51.605299,-0.798046 51.605435,-0.796521 51.605694)))",Land adjoining High Heavens,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHH
,,2021-01-08,development-policy-area:LPHL,"MULTIPOLYGON (((-0.679873 51.591175,-0.679741 51.591410,-0.679945 51.591529,-0.679859 51.591580,-0.679915 51.591615,-0.679947 51.591698,-0.679944 51.591999,-0.679854 51.592039,-0.679793 51.592111,-0.679197 51.592200,-0.679209 51.592357,-0.679289 51.592632,-0.679305 51.592923,-0.679449 51.593463,-0.678901 51.593549,-0.677597 51.592078,-0.678148 51.591821,-0.679596 51.590900,-0.679948 51.591093,-0.679873 51.591175)))",Holtspur Lane,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHL
,,2021-01-08,development-policy-area:LPHS2,"MULTIPOLYGON (((-0.776841 51.774975,-0.776789 51.774828,-0.776667 51.774850,-0.776595 51.774790,-0.776600 51.774745,-0.776702 51.774708,-0.776221 51.774090,-0.775839 51.773693,-0.775481 51.773585,-0.775361 51.773500,-0.774999 51.773403,-0.774110 51.773054,-0.773741 51.773216,-0.773181 51.772718,-0.772366 51.772406,-0.770602 51.773228,-0.770877 51.773444,-0.771386 51.773966,-0.771663 51.774163,-0.771609 51.774202,-0.771332 51.773984,-0.770499 51.773158,-0.770500 51.773099,-0.769449 51.772179,-0.769293 51.771962,-0.769050 51.771523,-0.769000 51.771539,-0.769008 51.771470,-0.769267 51.771378,-0.769207 51.771360,-0.769750 51.771148,-0.766811 51.768814,-0.767701 51.768361,-0.767828 51.768131,-0.767875 51.767861,-0.767869 51.767677,-0.767671 51.767497,-0.767537 51.767138,-0.779135 51.769105,-0.778978 51.769452,-0.772484 51.768341,-0.772377 51.769499,-0.773396 51.769201,-0.773581 51.769950,-0.774052 51.769833,-0.774110 51.769917,-0.773972 51.769968,-0.773901 51.769925,-0.773851 51.769937,-0.773744 51.770023,-0.773789 51.770051,-0.773625 51.770125,-0.773701 51.770311,-0.773949 51.770281,-0.774139 51.770337,-0.774270 51.770562,-0.773893 51.770757,-0.773038 51.770859,-0.773210 51.771133,-0.773264 51.771160,-0.773105 51.771240,-0.773658 51.771705,-0.773813 51.771638,-0.775618 51.772404,-0.776030 51.772229,-0.777198 51.772198,-0.778101 51.772229,-0.778650 51.772192,-0.779209 51.772237,-0.779408 51.772315,-0.779613 51.772502,-0.780087 51.772561,-0.780293 51.772708,-0.780365 51.772984,-0.780634 51.773163,-0.780664 51.773261,-0.780640 51.773379,-0.780903 51.773712,-0.780957 51.773694,-0.782292 51.774805,-0.782000 51.774943,-0.781800 51.774978,-0.781526 51.774885,-0.781259 51.774922,-0.781209 51.774885,-0.781194 51.774802,-0.781133 51.774753,-0.780804 51.774704,-0.780552 51.774604,-0.780427 51.774469,-0.779675 51.774228,-0.779517 51.774321,-0.779326 51.774346,-0.778714 51.774519,-0.778626 51.774605,-0.778296 51.774586,-0.777731 51.774690,-0.776841 51.774975),(-0.767985 51.767587,-0.768014 51.767866,-0.768107 51.767936,-0.769295 51.768448,-0.769931 51.768802,-0.770170 51.768586,-0.770263 51.768545,-0.770302 51.768591,-0.772083 51.769543,-0.772199 51.768294,-0.767985 51.767587)),((-0.800594 51.780387,-0.800190 51.780603,-0.799562 51.780253,-0.799448 51.780286,-0.799823 51.780776,-0.798574 51.781393,-0.798421 51.781251,-0.798619 51.781116,-0.798453 51.780801,-0.798461 51.780665,-0.798528 51.780568,-0.797884 51.780765,-0.797800 51.780691,-0.798418 51.780502,-0.797860 51.779389,-0.797659 51.779077,-0.797477 51.778836,-0.797087 51.778521,-0.796551 51.778124,-0.795996 51.777833,-0.794553 51.777357,-0.794492 51.777413,-0.794073 51.777424,-0.794032 51.777461,-0.793961 51.777431,-0.794122 51.777286,-0.793023 51.777121,-0.792506 51.776731,-0.793503 51.776176,-0.793083 51.775900,-0.793503 51.776176,-0.793103 51.776400,-0.793240 51.776434,-0.794767 51.776711,-0.795183 51.776338,-0.795255 51.776369,-0.795174 51.776441,-0.795295 51.776685,-0.795175 51.776793,-0.795987 51.777010,-0.796726 51.777301,-0.797431 51.777681,-0.798168 51.778199,-0.798491 51.778543,-0.798715 51.778858,-0.799402 51.780201,-0.799976 51.780026,-0.800594 51.780387)),((-0.809898 51.781977,-0.808980 51.782455,-0.808414 51.780708,-0.808144 51.780061,-0.807735 51.780136,-0.807482 51.779601,-0.807009 51.779361,-0.807849 51.778804,-0.807776 51.778669,-0.807818 51.778633,-0.807792 51.778503,-0.807968 51.778455,-0.807935 51.778393,-0.807783 51.778430,-0.807284 51.777443,-0.807351 51.777391,-0.807242 51.777244,-0.807206 51.777061,-0.807235 51.776986,-0.807393 51.776875,-0.807496 51.776849,-0.807733 51.776858,-0.807863 51.776719,-0.810715 51.775854,-0.810705 51.775424,-0.810780 51.775221,-0.810854 51.775227,-0.810906 51.775093,-0.811036 51.775057,-0.811309 51.775193,-0.811285 51.775227,-0.811131 51.775187,-0.811006 51.775213,-0.810921 51.775442,-0.810938 51.775936,-0.808018 51.776822,-0.807906 51.776943,-0.808008 51.777056,-0.808043 51.777347,-0.807918 51.777505,-0.807819 51.777512,-0.808166 51.778159,-0.808457 51.778311,-0.808643 51.778307,-0.808855 51.778369,-0.809702 51.778739,-0.809055 51.779101,-0.809401 51.779833,-0.808806 51.779941,-0.809124 51.780616,-0.809392 51.780571,-0.809898 51.781977)),((-0.800875 51.777081,-0.800702 51.777005,-0.801244 51.776684,-0.802092 51.775998,-0.802282 51.776081,-0.801650 51.776608,-0.801259 51.776876,-0.801936 51.777198,-0.801355 51.777669,-0.800595 51.777308,-0.800875 51.777081)),((-0.805912 51.779173,-0.806646 51.779501,-0.806341 51.779697,-0.805648 51.779387,-0.805480 51.779523,-0.804721 51.779162,-0.805302 51.778691,-0.806062 51.779051,-0.805912 51.779173)),((-0.783742 51.770505,-0.783561 51.770605,-0.783321 51.770544,-0.783309 51.770564,-0.780648 51.769855,-0.780633 51.769876,-0.780367 51.769805,-0.780481 51.769640,-0.780747 51.769711,-0.780733 51.769731,-0.783134 51.770350,-0.783148 51.770330,-0.783417 51.770397,-0.783402 51.770419,-0.783742 51.770505)),((-0.787219 51.772116,-0.786895 51.772149,-0.785714 51.771188,-0.785624 51.770983,-0.785978 51.771046,-0.785953 51.771086,-0.787219 51.772116)),((-0.771619 51.774211,-0.771885 51.774327,-0.772053 51.774437,-0.772798 51.775022,-0.773140 51.775319,-0.773972 51.776097,-0.774144 51.776228,-0.774242 51.776248,-0.774173 51.776277,-0.774001 51.776166,-0.773417 51.775643,-0.773048 51.775248,-0.772687 51.774952,-0.772057 51.774466,-0.771794 51.774300,-0.771596 51.774231,-0.771619 51.774211)),((-0.792513 51.775514,-0.792181 51.775278,-0.792099 51.775212,-0.792181 51.775278,-0.792513 51.775514)))",HS2 Safeguarded Land,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHS2
,,2021-01-08,development-policy-area:LPHUG,"MULTIPOLYGON (((-0.753928 51.639872,-0.753918 51.640003,-0.753118 51.639994,-0.753071 51.639101,-0.753967 51.639182,-0.754707 51.639118,-0.755436 51.638936,-0.755506 51.639341,-0.755723 51.640138,-0.755200 51.640156,-0.753928 51.639872),(-0.753969 51.639185,-0.753976 51.639209,-0.753968 51.639349,-0.753980 51.639212,-0.753969 51.639185)),((-0.751130 51.639382,-0.751141 51.639333,-0.751076 51.639316,-0.751148 51.639286,-0.751261 51.639092,-0.751651 51.638854,-0.751798 51.638864,-0.752554 51.639064,-0.752572 51.639260,-0.752685 51.639561,-0.752788 51.639563,-0.752805 51.639763,-0.752474 51.639750,-0.752437 51.639644,-0.752319 51.639625,-0.751747 51.639599,-0.751271 51.639506,-0.751081 51.639505,-0.751130 51.639382)))",Hughenden Avenue,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHUG
,,2021-01-08,development-policy-area:LPHW,"MULTIPOLYGON (((-0.722767 51.618700,-0.722456 51.618983,-0.722353 51.619012,-0.721958 51.618586,-0.722012 51.618567,-0.721608 51.618113,-0.722160 51.617921,-0.722410 51.618194,-0.722493 51.618202,-0.722575 51.618290,-0.722639 51.618320,-0.722850 51.618321,-0.722990 51.618381,-0.722902 51.618461,-0.722938 51.618545,-0.722767 51.618700)))",High Wycombe Business Park,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHW
,,2021-01-08,development-policy-area:LPHW10,"MULTIPOLYGON (((-0.796856 51.614656,-0.796288 51.614654,-0.796260 51.614257,-0.796194 51.613991,-0.795848 51.613563,-0.795417 51.613113,-0.795953 51.612856,-0.796636 51.613035,-0.798139 51.613542,-0.798431 51.613711,-0.798785 51.613974,-0.797834 51.614091,-0.796817 51.614092,-0.796856 51.614656)))",Horns Lane,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHW10
,,2021-01-08,development-policy-area:LPHW11,"MULTIPOLYGON (((-0.798545 51.609759,-0.797955 51.609779,-0.795386 51.609306,-0.795695 51.608605,-0.795804 51.608619,-0.795994 51.608581,-0.797256 51.608810,-0.797395 51.608894,-0.797424 51.609046,-0.797640 51.609053,-0.797677 51.608972,-0.798447 51.608965,-0.798810 51.609021,-0.798858 51.609151,-0.798853 51.609276,-0.798545 51.609759)))",Clay Lane,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHW11
,,2021-01-08,development-policy-area:LPHW12,"MULTIPOLYGON (((-0.765398 51.631822,-0.765181 51.631740,-0.764910 51.631977,-0.764791 51.632042,-0.764786 51.632093,-0.764715 51.632152,-0.764561 51.632091,-0.764600 51.632051,-0.764472 51.632009,-0.764120 51.631974,-0.764203 51.631973,-0.764530 51.631817,-0.763884 51.631285,-0.763188 51.631100,-0.763248 51.631022,-0.763331 51.631042,-0.763372 51.630975,-0.763486 51.631005,-0.763690 51.630630,-0.764319 51.630781,-0.764527 51.630864,-0.764460 51.630929,-0.765631 51.631382,-0.765672 51.631342,-0.765826 51.631401,-0.765398 51.631822)))",Leigh Street,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHW12
,,2021-01-08,development-policy-area:LPHW13,"MULTIPOLYGON (((-0.729194 51.621289,-0.729108 51.621359,-0.728203 51.620298,-0.727292 51.619354,-0.728764 51.619580,-0.729171 51.619702,-0.729230 51.619778,-0.729323 51.619806,-0.729476 51.619797,-0.730472 51.620103,-0.730544 51.620149,-0.730436 51.620310,-0.730378 51.620287,-0.729194 51.621289)))",Former Bassetsbury Allotments,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHW13
,,2021-01-08,development-policy-area:LPHW14,"MULTIPOLYGON (((-0.705870 51.657840,-0.705263 51.658225,-0.704111 51.657483,-0.704145 51.657413,-0.704391 51.657491,-0.704851 51.657197,-0.705224 51.657402,-0.705870 51.657840)))",Highbury Works / Hazlemere Coach Works,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHW14
,,2021-01-08,development-policy-area:LPHW18,"MULTIPOLYGON (((-0.752702 51.627069,-0.751978 51.626970,-0.751793 51.626860,-0.751760 51.626742,-0.751903 51.626554,-0.752225 51.626260,-0.752795 51.626547,-0.752855 51.626811,-0.752702 51.627069)))",Office Outlet site,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHW18
,,2021-01-08,development-policy-area:LPHW4,"MULTIPOLYGON (((-0.726896 51.613998,-0.727145 51.614243,-0.727299 51.614487,-0.727653 51.614796,-0.728507 51.615220,-0.728536 51.615254,-0.728542 51.615394,-0.728606 51.615478,-0.729113 51.615630,-0.729599 51.615876,-0.729632 51.615922,-0.729574 51.616077,-0.729368 51.616426,-0.728647 51.616992,-0.728526 51.617143,-0.728065 51.617259,-0.727678 51.617430,-0.726537 51.617535,-0.725497 51.616945,-0.725542 51.616922,-0.725037 51.616488,-0.724854 51.616587,-0.724373 51.616316,-0.723157 51.616811,-0.723677 51.617078,-0.723198 51.617379,-0.722876 51.617154,-0.722712 51.617246,-0.722651 51.617209,-0.722503 51.617086,-0.722416 51.616863,-0.722241 51.616696,-0.722230 51.616597,-0.722357 51.616395,-0.722503 51.616275,-0.722862 51.616069,-0.723182 51.615745,-0.724139 51.614883,-0.724384 51.614709,-0.724954 51.614498,-0.726896 51.613998)))",Abbey Barn North,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHW4
,,2021-01-08,development-policy-area:LPHW5,"MULTIPOLYGON (((-0.742693 51.613496,-0.743353 51.613734,-0.744097 51.613947,-0.745916 51.614375,-0.745366 51.614691,-0.745081 51.614910,-0.744482 51.615292,-0.744255 51.615480,-0.743969 51.615795,-0.743731 51.616397,-0.743620 51.616569,-0.741989 51.615740,-0.739258 51.617776,-0.738686 51.617515,-0.738102 51.617378,-0.737926 51.617283,-0.737879 51.617224,-0.737848 51.617298,-0.737864 51.617344,-0.737673 51.617422,-0.736985 51.616001,-0.736883 51.615477,-0.736819 51.615395,-0.736669 51.614947,-0.736615 51.614905,-0.736099 51.614766,-0.735098 51.614569,-0.734607 51.614412,-0.734126 51.614160,-0.733731 51.614194,-0.732469 51.613673,-0.732338 51.613680,-0.732159 51.613804,-0.731580 51.613648,-0.731444 51.613535,-0.731267 51.613452,-0.729932 51.613143,-0.730770 51.612899,-0.731220 51.612818,-0.732112 51.612406,-0.733423 51.611903,-0.734747 51.611737,-0.735483 51.611605,-0.735897 51.611479,-0.736284 51.611307,-0.738080 51.611746,-0.739066 51.612041,-0.740292 51.612475,-0.742693 51.613496)))",Abbey Barn South and Wycombe Summit,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHW5
,,2021-01-08,development-policy-area:LPHW6,"MULTIPOLYGON (((-0.708131 51.625181,-0.709297 51.625629,-0.708330 51.626551,-0.708901 51.626791,-0.708603 51.627041,-0.708223 51.627430,-0.708051 51.627690,-0.707735 51.628067,-0.707166 51.628885,-0.707025 51.629030,-0.706976 51.629150,-0.706541 51.629808,-0.706273 51.630128,-0.705989 51.630387,-0.705420 51.630800,-0.705234 51.630972,-0.704396 51.632058,-0.703954 51.632524,-0.701507 51.633140,-0.701416 51.633126,-0.700678 51.633319,-0.700499 51.633292,-0.700414 51.633342,-0.700357 51.633340,-0.700232 51.633244,-0.699786 51.632855,-0.699838 51.632822,-0.699586 51.632539,-0.699430 51.632284,-0.699507 51.632208,-0.699744 51.631813,-0.700221 51.631315,-0.700878 51.630827,-0.701249 51.630505,-0.701628 51.629529,-0.701960 51.629096,-0.702132 51.628758,-0.702262 51.628174,-0.702355 51.628086,-0.702524 51.628008,-0.702612 51.627881,-0.702753 51.627130,-0.702898 51.625991,-0.702854 51.625781,-0.702645 51.625560,-0.702786 51.625466,-0.703434 51.624233,-0.704114 51.624235,-0.703991 51.623939,-0.703676 51.623432,-0.703581 51.623064,-0.703565 51.622656,-0.703596 51.622286,-0.703862 51.621549,-0.704040 51.621262,-0.704236 51.621034,-0.704810 51.620697,-0.704592 51.620592,-0.705694 51.619974,-0.705993 51.619875,-0.705995 51.619850,-0.705247 51.619459,-0.706013 51.618915,-0.706213 51.618711,-0.706283 51.618586,-0.706296 51.618360,-0.706255 51.618195,-0.705891 51.617739,-0.705816 51.617597,-0.706547 51.617460,-0.706498 51.617298,-0.705953 51.617312,-0.705689 51.617355,-0.705671 51.617273,-0.705704 51.617147,-0.705914 51.616881,-0.706283 51.616643,-0.706491 51.616560,-0.707084 51.616407,-0.707766 51.616721,-0.708721 51.617369,-0.709391 51.617765,-0.710396 51.618240,-0.710716 51.618599,-0.709925 51.618878,-0.710300 51.619166,-0.709468 51.619835,-0.710807 51.620423,-0.711253 51.620357,-0.712360 51.619376,-0.713733 51.620330,-0.714608 51.620854,-0.715174 51.621137,-0.714934 51.621371,-0.715441 51.621616,-0.715303 51.621729,-0.714939 51.622151,-0.714742 51.622296,-0.714530 51.622420,-0.714149 51.622505,-0.713777 51.622657,-0.713307 51.622924,-0.712891 51.623220,-0.712372 51.622995,-0.711633 51.622806,-0.711154 51.623157,-0.710929 51.623196,-0.710307 51.622970,-0.708131 51.625181)))",Gomm Valley and Ashwells,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHW6
,,2021-01-08,development-policy-area:LPHW7,"MULTIPOLYGON (((-0.729116 51.646187,-0.729244 51.646144,-0.730575 51.646617,-0.730667 51.646483,-0.730717 51.646495,-0.731668 51.645169,-0.732888 51.645517,-0.734198 51.645984,-0.734331 51.646078,-0.734367 51.646191,-0.733773 51.647525,-0.732704 51.648063,-0.732659 51.648119,-0.732227 51.648382,-0.731295 51.649171,-0.730388 51.649694,-0.728959 51.650288,-0.727953 51.650504,-0.726271 51.650744,-0.723864 51.650948,-0.723250 51.648421,-0.724162 51.648308,-0.724924 51.648175,-0.725583 51.647995,-0.726225 51.647921,-0.726392 51.647882,-0.726457 51.647836,-0.726547 51.647858,-0.726670 51.647747,-0.726856 51.647657,-0.727435 51.647271,-0.727675 51.647168,-0.728379 51.646618,-0.728769 51.646461,-0.729116 51.646187)))",Terriers Farm and Terriers House,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHW7
,,2021-01-08,development-policy-area:LPHW9,"MULTIPOLYGON (((-0.749873 51.643423,-0.748054 51.643213,-0.748109 51.642168,-0.748249 51.642186,-0.748254 51.642163,-0.748816 51.642136,-0.749089 51.642180,-0.749758 51.642103,-0.749805 51.642242,-0.749932 51.643047,-0.749873 51.643423)))",Part of Greens Farm Glynswood,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPHW9
,,2021-01-08,development-policy-area:LPKCH,"MULTIPOLYGON (((-0.766965 51.631416,-0.766250 51.632129,-0.765398 51.631822,-0.765826 51.631401,-0.765672 51.631342,-0.765996 51.631031,-0.766965 51.631416)))",Kitchener Road,local-authority-eng:BUC,,,,/development-policy-area/local-authority-eng/BUC/LPKCH
